profile-config,,
last-modified,name,profile-id,vendor,protocol,available-version,products-supported,plugin-class,versions-supported,device-type
2019-03-07 16:28:33,cisco-4700,cisco-4700,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 4700 Router,,*,ROUTER
2019-03-07 16:28:33,calix-b6-214,calix-b6-214,Calix,SNMP,7.0.2,B6-214,,*,ACCESS_POINT
2019-03-07 16:28:33,airframe-server,airframe-server,NOKIA,SNMP,7.0.2,airframe-server,,*,UNKNOWN
2019-03-07 16:28:33,aastra-videorunner,aastra-videorunner,Aastra Technologies,SNMP,7.0.10,"aastra-videorunner-300, aastra-videorunner-1700",C,*,UNKNOWN
2019-03-07 16:28:32,procera-packetlogic,procera-packetlogic,Procera Networks,SNMP,7.0.7,PacketLogic,C,*,UNKNOWN
2019-03-07 16:28:32,nortel-gsm-umts-mg,nortel-gsm-umts-mg,Nortel,ASCII,7.0.2,GSM UMTS MG,,*,SWITCH
2019-03-07 16:28:32,evertz-7800,evertz-7800,Evertz,SNMP,7.0.2,evertz-fc,,7800,UNKNOWN
2019-03-07 16:28:32,ericsson-sgsn,ericsson-sgsn,Ericsson,SNMP,7.0.2,SGSN,,,AGENT
2019-03-07 16:28:32,ericsson-epn212,ericsson-epn212,Ericsson,SNMP,7.0.2,EPN212,,*,UNKNOWN
2019-03-07 16:28:32,docs3.0-motorola-modem-sb5101ne,docs3.0-motorola-modem-sb5101ne,Motorola,SNMP,7.0.2,Motorola SB5101NE,,,CABLE_MODEM
2019-03-07 16:28:32,cisco-2600,cisco-2600,"Cisco Systems, Inc",SNMP,7.0.12,"Cisco 2600,2610,2611,2620,2621,2651,2611xm,2621xm",D,*,ROUTER
2019-03-07 16:28:32,cisco-10012,cisco-10012,"Cisco Systems, Inc",SNMP,7.0.3,Cisco 10012,,*,CMTS
2019-03-07 16:28:32,brocade-fastiron-sx800,brocade-fastiron-sx800,Foundry Networks,SNMP,7.0.2,Foundry Networks,,*,SWITCH
2019-03-07 16:28:32,avaya-sr-1000,avaya-sr-1000,Nortel Networks,SNMP,7.0.16,avaya-sr-1000,D,*,ROUTER
2019-03-07 16:28:32,adtran-netvanta-6000,adtran-netvanta-6000,adtran,SNMP,7.0.2,netvanta,,6000,ROUTER
2019-03-07 16:28:31,zhone-mxk,zhone-mxk,Zhone Technologies,SNMP,7.0.5,Zhone-MXK,,*,MSPP
2019-03-07 16:28:31,telco-systems-t5c-xg,telco-systems-t5c-xg,Telco Systems,SNMP,7.0.2,T5C-XG,,*,SWITCH
2019-03-07 16:28:31,juniper-ssg,juniper-ssg,Juniper Networks,SNMP,7.0.11,"SSG-5,SSG-20",D,*,FIREWALL
2019-03-07 16:28:31,extreme-summit-x670,extreme-summit-x670,"Extreme Networks, Inc.",SNMP,7.0.2,Summit x670,,*,SWITCH
2019-03-07 16:28:31,cisco7206VXR-router,cisco7206VXR-router,"Cisco Systems, Inc",SNMP,7.0.8,7206VXR,C,*,ROUTER
2019-03-07 16:28:31,cisco-ubr-7246,cisco-ubr-7246,"Cisco Systems, Inc",SNMP,7.0.2,Cisco UBR 7246,,*,CMTS
2019-03-07 16:28:31,cisco-7300,cisco-7300,"Cisco, Inc",SNMP,7.0.8,"Cisco-7301 Router,Cisco-7304 Router",C,*,ROUTER
2019-03-07 16:28:31,cisco-12012,cisco-12012,"Cisco Systems, Inc",SNMP,7.0.3,Cisco 12012,,*,ROUTER
